Bélier,21,3,20,4,Feu
Taureau,21,4,20,5,Terre
Gémeaux,22,5,21,6,Air
Cancer,22,6,22,7,Eau
Lion,23,7,22,8,Feu
Vierge,23,8,22,9,Terre
Balance,23,9,22,10,Air
Scorpion,23,10,22,11,Eau
Sagittaire,23,11,21,12,Feu
Capricorne,22,12,20,1,Terre
Verseau,21,1,18,2,Air
Poisson,19,2,20,3,Eau
